"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0419400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0419400.1"
"PF3D7_0419500","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0419500.1"
"PF3D7_0419700","apical merozoite protein","IDA","PMID:17521656","N/A","PF3D7_0419700.1"
"PF3D7_0419900","phosphatidylinositol 4-kinase, putative","ISM","N/A","InterPro:IPR000403","PF3D7_0419900.1"
"PF3D7_0420000","zinc finger protein, putative","ISM","N/A","Pfam:PF07496","PF3D7_0420000.1"
"PF3D7_0420300","AP2 domain transcription factor, putative","ISM","PMID:21060817","Pfam:PF00847","PF3D7_0420300.1"
"PF3D7_0420400","ribosome-recycling factor","IDA","PMID:23614815","N/A","PF3D7_0420400.1"
"PF3D7_0420700","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0420700.1"
"PF3D7_0420900","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0420900.1"
"PF3D7_0421100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0421100.1"
"PF3D7_0421300","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0421300.1"
"PF3D7_0421700","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0522300|GeneDB:PVP01_0530200|GeneDB:PmUG01_05038300","PF3D7_0421700.1"
"PF3D7_0422100","transmembrane emp24 domain-containing protein, putative","ISM","N/A","Pfam:PF01105","PF3D7_0422100.1"
"PF3D7_0422200","erythrocyte membrane-associated antigen","IDA","PMID:1896607","N/A","PF3D7_0422200.1"
"PF3D7_0422500","pre-mRNA-splicing helicase BRR2, putative","ISS","PMID:21996352","UniProt:P32639","PF3D7_0422500.1"
"PF3D7_0423400","apical asparagine-rich protein AARP","IDA","PMID:18320051","N/A","PF3D7_0423400.1"
"PF3D7_0423600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0423600.1"
"PF3D7_0423900","probable protein, unknown function","N/A","N/A","N/A","PF3D7_0423900.1"
"PF3D7_0424100","reticulocyte binding protein homologue 5","IDA","PMID:18827878","N/A","PF3D7_0424100.1"
"PF3D7_0424200","reticulocyte binding protein homologue 4","IDA","PMID:17971435","N/A","PF3D7_0424200.1"
"PF3D7_0424400","surface-associated interspersed protein 4.2 (SURFIN 4.2)","IDA","PMID:15939796","N/A","PF3D7_0424400.1"
"PF3D7_0424700","serine/threonine protein kinase, FIKK family","IDA","PMID:32284562","N/A","PF3D7_0424700.1"
"PF3D7_0424800","Plasmodium exported protein (PHISTb), unknown function","ISM","N/A","Pfam:PF09687","PF3D7_0424800.1"
"PF3D7_0425000","Plasmodium exported protein, unknown function, pseudogene","N/A","N/A","N/A","PF3D7_0425000.1"
"PF3D7_0425800","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0425800.1"
"PF3D7_0426000","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0426000.1"
"PF3D7_0500100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0500100.1"
"PF3D7_0500800","mature parasite-infected erythrocyte surface antigen","IDA","PMID:3065643","N/A","PF3D7_0500800.1"
"PF3D7_0501400","interspersed repeat antigen","IDA","PMID:2444858","N/A","PF3D7_0501400.1"
"PF3D7_0501600","rhoptry-associated protein 2","IDA","PMID:10835342","N/A","PF3D7_0501600.1"
"PF3D7_0501700","anaphase-promoting complex subunit 3, putative","IDA","PMID:29618731","GeneDB:PBANKA_1101500","PF3D7_0501700.1"
"PF3D7_0501800","chromatin assembly factor 1 subunit A","IDA","PMID:29183721","N/A","PF3D7_0501800.1"
"PF3D7_0502000","vacuolar protein sorting-associated protein 11, putative","ISS","PMID:24086721","UniProt:Q9H270|Pfam:PF12451","PF3D7_0502000.1"
"PF3D7_0502200","protein Mpv17, putative","ISS","PMID:29202176","Pfam:PF04117|UniProt:P39210|UniProt:Q06563","PF3D7_0502200.1"
"PF3D7_0502400","merozoite surface protein 8","IDA","PMID:11378201","N/A","PF3D7_0502400.1"
"PF3D7_0502600","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1102000|GeneDB:PVP01_1032400|GeneDB:PmUG01_06023700","PF3D7_0502600.1"
"PF3D7_0504000","cation transporting P-ATPase","IDA","PMID:11522345","N/A","PF3D7_0504000.1"
"PF3D7_0504600","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative","N/A","N/A","N/A","PF3D7_0504600.1"
"PF3D7_0504700","centrosomal protein CEP120, putative","ISS","PMID:25734885","UniProt:Q8N960","PF3D7_0504700.1"
"PF3D7_0504800","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1104100|GeneDB:PVP01_1029200|GeneDB:PmUG01_06020100","PF3D7_0504800.1"
"PF3D7_0505000","MMS19-like protein, putative","ISM","PMID:24243793","Pfam:PF14500","PF3D7_0505000.1"
"PF3D7_0505100","trafficking protein particle complex subunit 8, putative","ISS","PMID:24086721","UniProt:Q9Y2L5|Pfam:PF12739","PF3D7_0505100.1"
"PF3D7_0505600","BCNT domain-containing protein, putative","ISM","N/A","InterPro:IPR011421","PF3D7_0505600.1"
"PF3D7_0506500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0506500.1"
"PF3D7_0507500","subtilisin-like protease 1","IDA","PMID:9722575","N/A","PF3D7_0507500.1"
"PF3D7_0507700","nuclear protein localization protein 4, putative","ISS","PMID:17244602","Pfam:PF05021|UniProt:P33755","PF3D7_0507700.1"
"PF3D7_0508400","conserved protein, unknown function","ISM","N/A","Pfam:PF05018","PF3D7_0508400.1"
"PF3D7_0508700","pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative","ISS","PMID:21996352","UniProt:P21372","PF3D7_0508700.1"
"PF3D7_0508900","protein AAP6","IDA","PMID:33830607","N/A","PF3D7_0508900.1"
"PF3D7_0509100","structural maintenance of chromosomes protein 4, putative","ISO","PMID:32049018","GeneDB:PBANKA_1108700","PF3D7_0509100.1"
"PF3D7_0509400","RNA polymerase I","IDA","PMID:8259131","N/A","PF3D7_0509400.1"
"PF3D7_0509500","ERCC4 domain-containing protein, putative","ISM","N/A","Pfam:PF02732","PF3D7_0509500.1"
"PF3D7_0509800","phosphatidylinositol 4-kinase beta","IDA","PMID:20381540, PMID:32543181","N/A","PF3D7_0509800.1, PF3D7_0509800.1"
"PF3D7_0510000","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1109300|GeneDB:PVP01_1024000|GeneDB:PmUG01_06014900","PF3D7_0510000.1"
"PF3D7_0510100","KH domain-containing protein, putative","ISM","N/A","InterPro:IPR036612","PF3D7_0510100.1"
"PF3D7_0511300","MORN repeat protein, putative","ISM","N/A","Pfam:PF02493","PF3D7_0511300.1"
"PF3D7_0511500","RNA pseudouridylate synthase, putative","ISM","N/A","InterPro:IPR020103","PF3D7_0511500.1"
"PF3D7_0511700","EKC/KEOPS complex subunit CGI121","IDA","PMID:25204654","N/A","PF3D7_0511700.1"
"PF3D7_0511900","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1111100|GeneDB:PVP01_1022100|GeneDB:PmUG01_10032800","PF3D7_0511900.1"
"PF3D7_0512000","prefoldin subunit 6","IDA","PMID:33145997","N/A","PF3D7_0512000.1"
"PF3D7_0512400","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1111600|GeneDB:PVP01_1021600|GeneDB:PmUG01_10032300","PF3D7_0512400.1"
"PF3D7_0512900","AKAP-like protein","IDA","PMID:27129434","N/A","PF3D7_0512900.1"
"PF3D7_0513200","CPSF domain-containing protein, putative","ISM","N/A","InterPro:IPR004871","PF3D7_0513200.1"
"PF3D7_0513600","deoxyribodipyrimidine photo-lyase, putative","ISM","N/A","Pfam:PF00875","PF3D7_0513600.1"
"PF3D7_0514100","ATP-dependent DNA helicase UvrD","IDA","PMID:23185322","N/A","PF3D7_0514100.1"
"PF3D7_0514200","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1113500|GeneDB:PVP01_1019700|GeneDB:PmUG01_10030400","PF3D7_0514200.1"
"PF3D7_0514300","aspartate--tRNA ligase, putative","ISM","N/A","Pfam:PF00152","PF3D7_0514300.1"
"PF3D7_0514700","MORN repeat protein, putative","ISM","N/A","Pfam:PF02493","PF3D7_0514700.1"
"PF3D7_0515300","phosphatidylinositol 3-kinase","IDA","PMID:20093402","N/A","PF3D7_0515300.1"
"PF3D7_0515600","gamete egress protein GEP, putative","ISO","PMID:32352241","GeneDB:PBANKA_1115200","PF3D7_0515600.1"
"PF3D7_0516000","RAP protein, putative","ISM","N/A","Pfam:PF08373","PF3D7_0516000.1"
"PF3D7_0516100","cation-transporting ATPase 1","IDA","PMID:8421054","N/A","PF3D7_0516100.1"
"PF3D7_0516600","sporozoite surface antigen MB2","IDA","PMID:11371568","N/A","PF3D7_0516600.1"
"PF3D7_0516700","ubiquitin carboxyl-terminal hydrolase 2, putative","ISM","N/A","InterPro:IPR001394","PF3D7_0516700.1"
"PF3D7_0516800","AP2 domain transcription factor AP2-O2, putative","ISO","PMID:28081440","GeneDB:PBANKA_1231600","PF3D7_0516800.1"
"PF3D7_0517100","conserved protein, unknown function","ISO","N/A","GeneDB:PCHAS_1232500|GeneDB:PVP01_1016900|UniProt:Q4UA27","PF3D7_0517100.1"
"PF3D7_0518700","mRNA-binding protein PUF1","IDA","PMID:12409450","N/A","PF3D7_0518700.1"
"PF3D7_0519500","CCR4 domain-containing protein 1, putative","ISO","PMID:30703164","GeneDB:PY17X_1237700","PF3D7_0519500.1"
"PF3D7_0520500","phosphomethylpyrimidine kinase, putative","ISM","N/A","Pfam:PF08543","PF3D7_0520500.1"
"PF3D7_0520600","bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]","IDA","PMID:22791172","N/A","PF3D7_0520600.1"
"PF3D7_0521000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0521000.1"
"PF3D7_0521500","ribosomal large subunit pseudouridylate synthase, putative","N/A","N/A","N/A","PF3D7_0521500.1"
"PF3D7_0521900","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1237100|GeneDB:PVP01_1012000|GeneDB:PmUG01_10022700","PF3D7_0521900.1"
"PF3D7_0522100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1237300|GeneDB:PVP01_1011800|GeneDB:PmUG01_10022500","PF3D7_0522100.1"
"PF3D7_0522400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0522400.1"
"PF3D7_0522900","zinc finger protein, putative","ISM","N/A","InterPro:IPR000571","PF3D7_0522900.1"
"PF3D7_0523000","multidrug resistance protein 1","IDA","PMID:2658061","N/A","PF3D7_0523000.1"
"PF3D7_0523200","heptatricopeptide repeat-containing protein, putative","ISM","PMID:30102371","N/A","PF3D7_0523200.1"
"PF3D7_0523800","divalent metal transporter, putative","ISM","N/A","Pfam:PF01566","PF3D7_0523800.1"
"PF3D7_0524100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1239300|GeneDB:PVP01_1009800|GeneDB:PmUG01_10020500","PF3D7_0524100.1"
"PF3D7_0524900","S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative","ISS","N/A","Pfam:PF08608|UniProt:Q08960","PF3D7_0524900.1"
"PF3D7_0525000","zinc finger protein, putative","ISM","N/A","InterPro:IPR000571","PF3D7_0525000.1"
"PF3D7_0525200","structural maintenance of chromosomes protein 6, putative","ISM","N/A","InterPro:IPR027132","PF3D7_0525200.1"
"PF3D7_0525300","conserved protein, unknown function","ISO","N/A","UniProt:Q4UG77|UniProt:A0A125YYD0|GeneDB:PCHAS_1240500|GeneDB:PVP01_1008500","PF3D7_0525300.1"
"PF3D7_0525500","WD repeat-containing protein, putative","ISM","PMID:26043001","InterPro:IPR017986","PF3D7_0525500.1"
"PF3D7_0526000","RAP protein, putative","ISM","N/A","Pfam:PF08373","PF3D7_0526000.1"
"PF3D7_0526500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0526500.1"
"PF3D7_0526600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0526600.1"
"PF3D7_0526700","conserved protein, unknown function","ISM","N/A","Pfam:PF05542","PF3D7_0526700.1"
"PF3D7_0527000","DNA replication licensing factor MCM3, putative","ISS","PMID:23336032","UniProt:P25205|UniProt:P24279","PF3D7_0527000.1"
"PF3D7_0527500","Hsc70-interacting protein","IDA","PMID:16884692","N/A","PF3D7_0527500.1"
"PF3D7_0527900","ATP-dependent RNA helicase DDX41, putative","ISS","PMID:27586396","UniProt:Q9UJV9","PF3D7_0527900.1"
"PF3D7_0528800","nuclear GTP-binding protein, putative","ISS","N/A","Pfam:PF08701|UniProtKB:P40010","PF3D7_0528800.1"
"PF3D7_0529200","sugar transporter, putative","ISM","N/A","Pfam:PF13347","PF3D7_0529200.1"
"PF3D7_0529400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0529400.1, PF3D7_0529400.2"
"PF3D7_0530100","SNARE protein, putative","ISM","N/A","InterPro:IPR000727","PF3D7_0530100.1"
"PF3D7_0530200","phosphoenolpyruvate/phosphate translocator","IDA","PMID:16760253","N/A","PF3D7_0530200.1"
"PF3D7_0530400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0530400.1"
"PF3D7_0530600","XAP-5 DNA binding protein, putative","ISM","N/A","Pfam:PF04921","PF3D7_0530600.1"
"PF3D7_0530700","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0530700.1"
"PF3D7_0531100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0531100.1"
"PF3D7_0531300","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1246100|GeneDB:PVP01_1002500|GeneDB:PmUG01_10013200","PF3D7_0531300.1"
"PF3D7_0531400","G-patch domain-containing protein, putative","ISM","N/A","InterPro:IPR000467","PF3D7_0531400.1"
"PF3D7_0533100","erythrocyte membrane protein 1 (PfEMP1), pseudogene","N/A","N/A","N/A","PF3D7_0533100.1"
"PF3D7_0600200","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0600200.1"
"PF3D7_0600400","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0600400.1"
"PF3D7_0601000","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0601000.1"
"PF3D7_0602000","zinc finger protein, putative","ISM","N/A","InterPro:IPR000571","PF3D7_0602000.1"
"PF3D7_0602600","SAC3 domain-containing protein, putative","ISM","N/A","Pfam:PF03399","PF3D7_0602600.1"
"PF3D7_0603000","SDE2 domain-containing protein, putative","ISM","N/A","InterPro:IPR024974","PF3D7_0603000.1"
"PF3D7_0603400","trophozoite exported protein 1","IDA","PMID:23056243","N/A","PF3D7_0603400.1"
"PF3D7_0604000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0604000.1"
"PF3D7_0604100","AP2 domain transcription factor","IDA","PMID:21060817","N/A","PF3D7_0604100.1"
"PF3D7_0604300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0604300.1"
"PF3D7_0604500","GYF domain-containing protein, putative","ISM","N/A","Pfam:PF02213","PF3D7_0604500.1"
"PF3D7_0604700","glyoxalase I-like protein GILP","IDA","PMID:15843146","N/A","PF3D7_0604700.1"
"PF3D7_0604800","RAP protein, putative","ISM","N/A","Pfam:PF08373","PF3D7_0604800.1"
"PF3D7_0605400","calcium-binding protein, putative","ISM","N/A","InterPro:IPR002048","PF3D7_0605400.1"
"PF3D7_0605600","nucleoside diphosphate kinase, putative","ISM","N/A","Pfam:PF00334","PF3D7_0605600.1"
"PF3D7_0605800","DNA repair protein RAD50, putative","ISS","PMID:25184562","UniProt:Q92878|UniProt:P12753","PF3D7_0605800.1"
"PF3D7_0606000","protein KIC1","IDA","PMID:31896710","N/A","PF3D7_0606000.1"
"PF3D7_0606600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0606600.1"
"PF3D7_0607000","translation initiation factor IF-2, putative","N/A","N/A","N/A","PF3D7_0607000.1"
"PF3D7_0607100","MYND-type zinc finger protein, putative","ISM","PMID:23181666","Pfam:PF01753","PF3D7_0607100.1"
"PF3D7_0607700","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0607700.1"
"PF3D7_0608300","heptatricopeptide repeat-containing protein, putative","ISM","PMID:30102371","N/A","PF3D7_0608300.1"
"PF3D7_0608310","sorting assembly machinery 50 kDa subunit, putative","ISM","N/A","PANTHER:PTHR12815","PF3D7_0608310.1"
"PF3D7_0608400","respiratory chain complex 4 associated protein 4","IDA","PMID:34155201","N/A","PF3D7_0608400.1"
"PF3D7_0608600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0608600.1"
"PF3D7_0609000","nucleoporin NUP637, putative","ISM","PMID:30050042","Pfam:PF13634","PF3D7_0609000.1"
"PF3D7_0609500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0609500.1"
"PF3D7_0609700","protein KIC6","IDA","PMID:31896710","N/A","PF3D7_0609700.1"
"PF3D7_0610200","RNA-binding protein 25, putative","ISS","PMID:26525978","PANTHER:PTHR18806|UniProt:P49756","PF3D7_0610200.1"
"PF3D7_0611600","basal complex transmembrane protein 1","IDA","PMID:26763910","N/A","PF3D7_0611600.1"
"PF3D7_0611800","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0110700|GeneDB:PVP01_1137400|GeneDB:PmUG01_11051300","PF3D7_0611800.1"
"PF3D7_0612100","eukaryotic translation initiation factor 3 subunit L, putative","ISM","N/A","PANTHER:PTHR13242:SF0","PF3D7_0612100.1"
"PF3D7_0612800","6-cysteine protein P12p","IDA","PMID:33480416","N/A","PF3D7_0612800.1"
"PF3D7_0613300","rhoptry protein ROP14","IDA","PMID:23049965","N/A","PF3D7_0613300.1"
"PF3D7_0613500","AP-3 complex subunit beta, putative","ISS","PMID:24204248","UniProt:P46682","PF3D7_0613500.1"
"PF3D7_0613800","AP2 domain transcription factor, putative","ISM","PMID:18541913","Pfam:PF00847","PF3D7_0613800.1"
"PF3D7_0613900","myosin E, putative","ISM","PMID:31283102","GeneDB:PBANKA_0112200","PF3D7_0613900.1"
"PF3D7_0614600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0614600.1"
"PF3D7_0615000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0615000.1"
"PF3D7_0615400","ribonuclease, putative","ISM","N/A","Pfam:PF00773","PF3D7_0615400.1"
"PF3D7_0615600","zinc finger protein, putative","ISM","N/A","InterPro:IPR001841","PF3D7_0615600.1"
"PF3D7_0615800","conserved oligomeric Golgi complex subunit 4, putative","ISS","PMID:24086721","UniProt:Q9H9E3","PF3D7_0615800.1"
"PF3D7_0615900","protein phosphatase, putative","ISM","N/A","InterPro:IPR001932","PF3D7_0615900.1"
"PF3D7_0616400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0616400.1"
"PF3D7_0616500","TRAP-like protein","IDA","PMID:18441124","N/A","PF3D7_0616500.1"
"PF3D7_0616600","conserved protein, unknown function","ISM","N/A","Pfam:PF15072","PF3D7_0616600.1"
"PF3D7_0616800","malate:quinone oxidoreductase","IDA","PMID:29269266","N/A","PF3D7_0616800.1"
"PF3D7_0616900","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0616900.1"
"PF3D7_0617100","AP-2 complex subunit alpha, putative","ISS","PMID:24204248","UniProt:P38065|UniProt:O95782","PF3D7_0617100.1"
"PF3D7_0617200","BFR1 domain-containing protein, putative","ISM","N/A","InterPro:IPR039604","PF3D7_0617200.1"
"PF3D7_0617400","erythrocyte membrane protein 1, PfEMP1","IDA","PMID:32471507","N/A","PF3D7_0617400.1"
"PF3D7_0618800","heptatricopeptide repeat-containing protein, putative","ISM","PMID:30102371","N/A","PF3D7_0618800.1"
"PF3D7_0619000","FPL domain-containing protein, putative","ISM","N/A","Pfam:PF09758","PF3D7_0619000.1, PF3D7_0619000.2"
"PF3D7_0619200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0619200.1"
"PF3D7_0619300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0619300.1"
"PF3D7_0620200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0620200.1"
"PF3D7_0620400","merozoite surface protein 10","IDA","PMID:12615336","N/A","PF3D7_0620400.1"
"PF3D7_0621000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0621000.1"
"PF3D7_0621100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0621100.1"
"PF3D7_0622100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0622100.1"
"PF3D7_0623100","nuclear polyadenylated RNA-binding protein NAB2, putative","ISS","PMID:20798816","UniProt:P32505","PF3D7_0623100.1"
"PF3D7_0623600","splicing factor-like protein 1, putative","ISS","N/A","InterPro:IPR031150|UniProt:Q15637|UniProt:Q12186","PF3D7_0623600.1"
"PF3D7_0623800","tyrosine kinase-like protein, putative","N/A","N/A","N/A","PF3D7_0623800.1"
"PF3D7_0624400","conserved protein, unknown function","ISO","N/A","UniProt:S8GRI2|UniProt:A0A0G4F860|GeneDB:PCHAS_1122800|GeneDB:PVP01_1125100","PF3D7_0624400.1"
"PF3D7_0624600","ISWI chromatin-remodeling complex ATPase","IDA","PMID:32816370","N/A","PF3D7_0624600.1"
"PF3D7_0625300","DNA polymerase 1, putative","ISM","N/A","InterPro:IPR002298","PF3D7_0625300.1"
"PF3D7_0625400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0625400.1"
"PF3D7_0626000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0626000.1"
"PF3D7_0627100","ankyrin-repeat protein, putative","ISM","N/A","Pfam:PF12796","PF3D7_0627100.1"
"PF3D7_0627300","E3 ubiquitin-protein ligase RNF5, putative","ISS","PMID:23236186","UniProt:Q99942","PF3D7_0627300.1"
"PF3D7_0627700","transportin","IDA","PMID:12049453","N/A","PF3D7_0627700.1"
"PF3D7_0627800","acetyl-CoA synthetase","IDA","PMID:34348113","N/A","PF3D7_0627800.1"
"PF3D7_0628100","HECT domain-containing protein 1, putative","ISM","PMID:32669539","InterPro:IPR000569","PF3D7_0628100.1"
"PF3D7_0628200","eukaryotic translation initiation factor 2-alpha kinase","IDA","PMID:22355110","N/A","PF3D7_0628200.1"
"PF3D7_0628800","glutamyl-tRNA(Gln) amidotransferase subunit B","IDA","PMID:26318454","N/A","PF3D7_0628800.1"
"PF3D7_0629100","nicotinate phosphoribosyltransferase, putative","ISS","N/A","Pfam:PF04095|UniProt:Q6XQN6","PF3D7_0629100.1"
"PF3D7_0629700","SET domain protein, putative","ISM","N/A","Pfam:PF00856","PF3D7_0629700.1"
"PF3D7_0630000","CPW-WPC family protein","ISM","N/A","Pfam:PF09717","PF3D7_0630000.1"
"PF3D7_0630100","alpha/beta hydrolase, putative","ISM","PMID:31772212","InterPro:IPR029058","PF3D7_0630100.1"
"PF3D7_0630300","DNA polymerase epsilon catalytic subunit A, putative","ISS","N/A","UniProt:P21951|PANTHER:PTHR10670","PF3D7_0630300.1"
"PF3D7_0630400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0630400.1"
"PF3D7_0630600","deubiquitinating enzyme MINDY, putative","ISM","N/A","InterPro:IPR025257","PF3D7_0630600.1"
"PF3D7_0630700","bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, putative","ISM","N/A","Pfam:PF00763","PF3D7_0630700.1"
"PF3D7_0630800","TPH domain-containing protein, putative","ISM","N/A","Pfam:PF13868","PF3D7_0630800.1"
"PF3D7_0631600","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0631600.1"
"PF3D7_0632500","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0632500.1"
"PF3D7_0632800","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0632800.1"
"PF3D7_0700100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0700100.1"
"PF3D7_0701400","exported protein family 4, pseudogene","IDA","PMID:23517413","N/A","PF3D7_0701400.1"
"PF3D7_0702300","sporozoite threonine and asparagine-rich protein","IDA","PMID:7935600","N/A","PF3D7_0702300.1"
"PF3D7_0703200","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0801200|GeneDB:PVP01_0103400|GeneDB:PmUG01_01014700","PF3D7_0703200.1"
"PF3D7_0703500","erythrocyte membrane-associated antigen","IDA","PMID:1896607","N/A","PF3D7_0703500.1"
"PF3D7_0703600","conserved protein, unknown function","ISO","N/A","UniProt:A0A125YHP8|UniProt:U6MDS6|GeneDB:PCHAS_0801600|GeneDB:PVP01_0103800","PF3D7_0703600.1"
"PF3D7_0703800","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0801800|GeneDB:PVP01_0104000|GeneDB:PmUG01_01015300","PF3D7_0703800.1"
"PF3D7_0703900","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0703900.1"
"PF3D7_0704000","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0704000.1"
"PF3D7_0704100","basal complex transmembrane protein 2","IDA","PMID:31097714","N/A","PF3D7_0704100.1"
"PF3D7_0704200","tRNA m5C-methyltransferase, putative","N/A","N/A","N/A","PF3D7_0704200.1"
"PF3D7_0704300","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0704300.1"
"PF3D7_0704500","serine/threonine protein kinase, putative","ISM","N/A","InterPro:IPR000719","PF3D7_0704500.1"
"PF3D7_0704600","HECT-type E3 ubiquitin ligase UT","IDA","PMID:24830312, PMID:31797898","N/A","PF3D7_0704600.1, PF3D7_0704600.1"
"PF3D7_0704700","phosphopantetheine adenylyltransferase, putative","ISO","PMID:28676844","GeneDB:PY17X_0805100","PF3D7_0704700.1"
"PF3D7_0704800","protein phosphatase PPM12, putative","ISM","PMID:28556455","InterPro:IPR001932","PF3D7_0704800.1"
"PF3D7_0705000","mRNA cap guanine-N7 methyltransferase, putative","ISS","N/A","InterPro:IPR004971|UniProt:P32783","PF3D7_0705000.1"
"PF3D7_0705100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0705100.1"
"PF3D7_0705200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0705200.1"
"PF3D7_0705500","inositol-phosphate phosphatase, putative","ISM","N/A","InterPro:IPR000300","PF3D7_0705500.1"
"PF3D7_0706100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0706100.1"
"PF3D7_0706300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0706300.1"
"PF3D7_0706500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0706500.1"
"PF3D7_0707200","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0804700|GeneDB:PVP01_0107400|GeneDB:PmUG01_01018700","PF3D7_0707200.1"
"PF3D7_0707700","E3 ubiquitin-protein ligase, putative","ISM","N/A","InterPro:IPR003613","PF3D7_0707700.1"
