"Gene ID","source_id","Product Description","gene_source_id"
"PF3D7_1400400","PF3D7_1400400.1","rifin","PF3D7_1400400"
"PF3D7_1400500","PF3D7_1400500.1","rifin","PF3D7_1400500"
"PF3D7_1400600","PF3D7_1400600.1","rifin","PF3D7_1400600"
"PF3D7_1400700","PF3D7_1400700.1","stevor","PF3D7_1400700"
"PF3D7_1400800","PF3D7_1400800.1","rifin","PF3D7_1400800"
"PF3D7_1400900","PF3D7_1400900.1","Plasmodium exported protein (PHISTa), unknown function, pseudogene","PF3D7_1400900"
"PF3D7_1401000","PF3D7_1401000.1","GBPH protein","PF3D7_1401000"
"PF3D7_1401100","PF3D7_1401100.1","DnaJ protein, putative","PF3D7_1401100"
"PF3D7_1401200","PF3D7_1401200.1","Plasmodium exported protein, unknown function","PF3D7_1401200"
"PF3D7_1401300","PF3D7_1401300.1","epoxide hydrolase 2","PF3D7_1401300"
"PF3D7_1401600","PF3D7_1401600.1","Plasmodium exported protein (PHISTb), unknown function","PF3D7_1401600"
"PF3D7_1407800","PF3D7_1407800.1","plasmepsin IV","PF3D7_1407800"
"PF3D7_1429600","PF3D7_1429600.1","conserved Plasmodium protein, unknown function","PF3D7_1429600"
"PF3D7_1430200","PF3D7_1430200.1","plasmepsin IX","PF3D7_1430200"
"PF3D7_1458000","PF3D7_1458000.1","cysteine proteinase falcipain 1","PF3D7_1458000"
"PF3D7_1464400","PF3D7_1464400.1","zinc finger protein, putative","PF3D7_1464400"
"PF3D7_1476300","PF3D7_1476300.1","Plasmodium exported protein (PHISTb), unknown function","PF3D7_1476300"
"PF3D7_1476600","PF3D7_1476600.1","Plasmodium exported protein, unknown function","PF3D7_1476600"
"PF3D7_1477000","PF3D7_1477000.1","Plasmodium exported protein (hyp17), unknown function, pseudogene","PF3D7_1477000"
"PF3D7_1478000","PF3D7_1478000.1","Plasmodium exported protein (PHISTa), unknown function","PF3D7_1478000"
"PF3D7_1478100","PF3D7_1478100.1","Plasmodium exported protein (hyp13), unknown function","PF3D7_1478100"
"PF3D7_1478300","PF3D7_1478300.1","Plasmodium exported protein, unknown function, pseudogene","PF3D7_1478300"
"PF3D7_1478500","PF3D7_1478500.1","Plasmodium exported protein (PHISTa), unknown function, pseudogene","PF3D7_1478500"
"PF3D7_1478600","PF3D7_1478600.1","EMP1-trafficking protein","PF3D7_1478600"
"PF3D7_1478800","PF3D7_1478800.1","Plasmodium exported protein, unknown function","PF3D7_1478800"
"PF3D7_1479200","PF3D7_1479200.1","Plasmodium exported protein (PHISTa), unknown function","PF3D7_1479200"
"PF3D7_1479300","PF3D7_1479300.1","Plasmodium exported protein (PHISTa), unknown function, pseudogene","PF3D7_1479300"
"PF3D7_1479400","PF3D7_1479400.1","rifin","PF3D7_1479400"
"PF3D7_1479500","PF3D7_1479500.1","stevor","PF3D7_1479500"
"PF3D7_1479700","PF3D7_1479700.1","rifin","PF3D7_1479700"
"PF3D7_1479800","PF3D7_1479800.1","rifin","PF3D7_1479800"
"PF3D7_1479900","PF3D7_1479900.1","stevor","PF3D7_1479900"
"PF3D7_1480000","PF3D7_1480000.1","rifin","PF3D7_1480000"
